#,Place,Type,Address and notes,Cost
1,ILO Studios,Cold,"Bailén 56 · 9 min walk · Mon–Fri 07:15–11:00 & 16:30–21:00 · daily plunge, all four mornings",€32 / 3×€45
2,The Hall CrossFit,Gym,Roger de Flor 87 · Day 2 box · 7 min walk · book by phone/form,ask
3,CrossFit Eixample (CFX),Gym,"Pg. Lluís Companys 12 · Day 1 box · 3 min walk, the closest gym to you · 7:00 class, 14 spots — pre-book",€18
4,KOR CrossFit Arc de Triomf,Gym,Ribes 23–25 · Day 3 box · 6 min walk · book via AimHarder,€18
5,Studio CrossFit,Gym,Provença 529 · Day 4 box · from 7:00 · ~10 min Bicing or L1 to Glòries · AimHarder,€18
6,Condal CrossFit Gràcia,Gym,Encarnació 20 · backup box · classes from 7:00 · email ahead,€20
7,Rokka Studio,Cold,Muntaner 269 · Day 3 afternoon ritual · from 9:00 daily,€30–58
8,Alpha Link (Sagrada Família),Gym,Roger de Flor 213 · nearest backup (9 min) · drop-in price on request,ask
9,Base — Pg. de Sant Joan 4,Base,"08010 Barcelona · at Arc de Triomf, foot of the boulevard · everything below is timed from this door",—
10,Yurbban Trafalgar,Beds,Trafalgar 30 · 6 min · rooftop plunge pool · for anyone joining you,~€150–200
11,Alma Barcelona,Beds,"Mallorca 271 · indoor pool, real gym, quietest sleep in the city · guest upgrade",~€300–500
12,Granja Petitbo,Eat,Pg. de Sant Joan 82 · 10 min straight up your street · eggs every way · from 8:30 wkdys,€8–16
13,Faire Brunch,Eat,Girona 81 · independent vegetarian brunch · from 9:00 · order savory,€10–18
14,Lot Roasters,Coffee,"Bailèn 43 (no map pin — it's under the ILO marker, 2 min from the sauna) · Peruvian micro-roastery",€3–8
15,Flexbowls,Eat,Diputació 289 · independent since 2015 · build-your-own protein bowls · from 8:00 wkdys,€9–14
16,Generation B,Eat,"Girona 118 · gluten-free bowls, custom protein · 11:00–20:00",€10–15
17,La Pubilla,Eat,"Pl. de la Llibertat 23, Gràcia · fork breakfast from ~9:00 + market menú · Tue–Sat",menú €14–18
18,Bar Mut,Eat,"Pau Claris 192 · vintage product-driven tapas · plancha seafood, tartare, eggs",€45–70
19,Xavier Pellicer,Eat,"Provença 310 · chef-owner biodynamic ""Healthy Kitchen"" · Wed–Sat + Sun lunch · reserve",€60–110
20,Berbena,Eat,"Minerva 6 · Michelin guide, chef-owner, 30 seats · reserve · closed Sun",~€35–50
21,GatBlau,Eat,"Comte Borrell 122 · Slow Food, certified organic · weekday menú €27.50 · alt lunch",€27.50–50
22,Can Fisher,Eat,"Av. del Litoral 64 · beachfront grill ON Bogatell · grilled fish, tartares · reserve wknds",€40–60
23,Els Pescadors,Eat,"Pl. de Prim 1, Poblenou · 1848 fishermen's tavern · whole grilled fish · reserve",€50–70
24,Can Solé,Eat,"Sant Carles 4, Barceloneta · family-run since 1903 · closed Mon · reserve",€50–75
25,Cal Pep,Eat,"Pl. de les Olles 8, El Born · legendary seafood counter · arrive at opening, no counter reservations",€50–70
26,Rasoterra,Eat,"Palau 5, Gothic · Slow Food vegetarian bistro, natural wines · closed Mon",€30–45
27,La Panxa del Bisbe,Eat,Torrent de les Flors 158 · chef-run tapas on the walk down from Bunkers · closed Mon,€35–50
28,BeBo Cold Press,Shot,Pl. Francesc Macià 5 · organic ginger + turmeric shots · beside Rokka,€6–14
29,Obbio,Shop,Muntaner 177 · Catalonia's largest organic supermarket · Mon–Sat 9–21,—
30,Veritas,Shop,Pg. de Sant Joan 144 · organic grocer · bottled shots for the 6:45 wake-ups,—
31,Bogatell Beach,Move,"Poblenou seafront · cleanest central beach, volleyball nets",free
32,Padel — CEM Nova Icària,Move,Av. d'Icària 167 · book via Playtomic · beachside courts,~€10–16/court
33,SUP rental — Barceloneta,Move,Moloka'i / Sea You cluster · Day 4 midday paddle,€10–15/h
34,Beach calisthenics park,Move,"Pg. Marítim, Barceloneta · open-air bars & rings on the sand",free
35,AIRE Ancient Baths,Move,"Pg. de Picasso 22, El Born · 7 min walk · thermal circuit incl. 15°C ice bath · book ahead",from ~€72
36,Bunkers del Carmel,Move,"Turó de la Rovira · steep urban hike, 360° golden-hour panorama",free
37,Montjuïc hike,Move,Poble Sec → Laribal gardens → Miramar → castle · spare-slot swap,free · castle €9
38,Seafront bike ride,Move,Barceloneta → Fòrum · 8 km flat separated lane (dashed on map) · Day 1 transport to Bogatell,€10–18/day
39,Satan's Coffee Corner,Coffee,"Gran Via 700 (Casa Bonay) · 5 min · daily 07:00–18:00 — earliest specialty open in the city; WiFi + kitchen, the afternoon edit desk",€3–9
40,Three Marks Coffee,Coffee,"Ausiàs Marc 151 · 3 min · on-site roastery, Fort Pienc · Mon–Fri from 8:30, wknd 10–19",€3–9
41,Nomad Coffee — Coffee Bar,Coffee,"Passatge Sert 12 · 8 min · the city's benchmark since 2014 · Mon–Fri 08:00–19:00, closed wknds",€3–9
42,Cafés El Magnífico,Coffee,"Argenteria 64, El Born · 15 min · family roaster since 1919, 40+ origins · buy beans here",€3–9 · beans €10–20
43,Syra Coffee — Born,Coffee,"Ortigosa 14 · 10 min · tiny takeaway counter, locally roasted · grab-and-walk",€2–5
44,Nomad · Frutas Selectas,Coffee,"Pujades 95, Poblenou · roastery-café in an old fruit warehouse, on the Bogatell bike route · Mon–Fri 8–18",€3–9
45,Parc de la Ciutadella,Move,"2 min · your run loop, rest block and outdoor mobility space · lake, lawns, Hivernacle glasshouse",free
